       0      11
       1       1       1
      66      11      11
       2       1       2
       4       1       3
       7       1       4
      11       1       5
      16       1       6
      65      10      11
       3       2       2
      55      10      10
       5       2       3
       8       2       4
      12       2       5
      17       2       6
      64       9      11
      54       9      10
       6       3       3
      45       9       9
       9       3       4
      13       3       5
      18       3       6
      63       8      11
      53       8      10
      44       8       9
      10       4       4
      36       8       8
      14       4       5
      19       4       6
      62       7      11
      52       7      10
      43       7       9
      35       7       8
      15       5       5
      28       7       7
      20       5       6
      61       6      11
      51       6      10
      42       6       9
      34       6       8
      27       6       7
      21       6       6
      60       5      11
      50       5      10
      41       5       9
      33       5       8
      26       5       7
      59       4      11
      49       4      10
      40       4       9
      32       4       8
      25       4       7
      58       3      11
      48       3      10
      39       3       9
      31       3       8
      24       3       7
      57       2      11
      47       2      10
      38       2       9
      30       2       8
      23       2       7
      56       1      11
      46       1      10
      37       1       9
      29       1       8
      22       1       7
