       0      11
       1       1       1
       2       1       2
       3       2       2
       4       1       3
       5       2       3
       6       3       3
       7       1       4
       8       2       4
       9       3       4
      10       4       4
      11       1       5
      12       2       5
      13       3       5
      14       4       5
      15       5       5
      16       1       6
      17       2       6
      18       3       6
      19       4       6
      20       5       6
      21       6       6
      22       1       7
      23       2       7
      24       3       7
      25       4       7
      26       5       7
      27       6       7
      28       7       7
      29       1       8
      30       2       8
      31       3       8
      32       4       8
      33       5       8
      34       6       8
      35       7       8
      36       8       8
      37       1       9
      38       2       9
      39       3       9
      40       4       9
      41       5       9
      42       6       9
      43       7       9
      44       8       9
      45       9       9
      46       1      10
      47       2      10
      48       3      10
      49       4      10
      50       5      10
      51       6      10
      52       7      10
      53       8      10
      54       9      10
      55      10      10
      56       1      11
      57       2      11
      58       3      11
      59       4      11
      60       5      11
      61       6      11
      62       7      11
      63       8      11
      64       9      11
      65      10      11
      66      11      11
