method, size, measurement number, time
get_amat_0d,    2000,  1, 0.324745
get_amat_0ds,   2000,  1, 0.315933
get_amat_0d_1,  2000,  1, 0.051591
get_amat_0d_1a, 2000,  1, 0.010712
get_amat_0d_1c, 2000,  1, 0.011642
get_amat_0d_1d, 2000,  1, 0.010729
get_amat_0d_2a, 2000,  1, 0.010945
get_amat_0d_3a, 2000,  1, 0.009624
get_amat_0d_3b, 2000,  1, 0.012487
get_amat_0d_4a, 2000,  1, 0.009838
get_amat_0d_4c, 2000,  1, 0.011341
get_amat_0d_4d, 2000,  1, 0.009029
get_amat_0d,    2000,  2, 0.328387
get_amat_0ds,   2000,  2, 0.314260
get_amat_0d_1,  2000,  2, 0.060139
get_amat_0d_1a, 2000,  2, 0.010776
get_amat_0d_1c, 2000,  2, 0.012242
get_amat_0d_1d, 2000,  2, 0.010454
get_amat_0d_2a, 2000,  2, 0.010837
get_amat_0d_3a, 2000,  2, 0.009245
get_amat_0d_3b, 2000,  2, 0.012276
get_amat_0d_4a, 2000,  2, 0.009791
get_amat_0d_4c, 2000,  2, 0.011203
get_amat_0d_4d, 2000,  2, 0.009692
get_amat_0d,    2000,  3, 0.328087
get_amat_0ds,   2000,  3, 0.316661
get_amat_0d_1,  2000,  3, 0.056581
get_amat_0d_1a, 2000,  3, 0.010348
get_amat_0d_1c, 2000,  3, 0.011380
get_amat_0d_1d, 2000,  3, 0.009576
get_amat_0d_2a, 2000,  3, 0.010476
get_amat_0d_3a, 2000,  3, 0.009207
get_amat_0d_3b, 2000,  3, 0.011890
get_amat_0d_4a, 2000,  3, 0.009954
get_amat_0d_4c, 2000,  3, 0.011225
get_amat_0d_4d, 2000,  3, 0.009660
get_amat_0d,    2000,  4, 0.322658
get_amat_0ds,   2000,  4, 0.317213
get_amat_0d_1,  2000,  4, 0.055473
get_amat_0d_1a, 2000,  4, 0.010369
get_amat_0d_1c, 2000,  4, 0.011363
get_amat_0d_1d, 2000,  4, 0.009823
get_amat_0d_2a, 2000,  4, 0.010478
get_amat_0d_3a, 2000,  4, 0.009312
get_amat_0d_3b, 2000,  4, 0.012471
get_amat_0d_4a, 2000,  4, 0.009858
get_amat_0d_4c, 2000,  4, 0.011165
get_amat_0d_4d, 2000,  4, 0.009938
get_amat_0d,    2000,  5, 0.301519
get_amat_0ds,   2000,  5, 0.319419
get_amat_0d_1,  2000,  5, 0.056755
get_amat_0d_1a, 2000,  5, 0.010620
get_amat_0d_1c, 2000,  5, 0.011030
get_amat_0d_1d, 2000,  5, 0.010208
get_amat_0d_2a, 2000,  5, 0.010685
get_amat_0d_3a, 2000,  5, 0.009392
get_amat_0d_3b, 2000,  5, 0.012081
get_amat_0d_4a, 2000,  5, 0.009890
get_amat_0d_4c, 2000,  5, 0.011047
get_amat_0d_4d, 2000,  5, 0.010154
get_amat_0d,    2000,  6, 0.298624
get_amat_0ds,   2000,  6, 0.316002
get_amat_0d_1,  2000,  6, 0.058113
get_amat_0d_1a, 2000,  6, 0.010166
get_amat_0d_1c, 2000,  6, 0.011268
get_amat_0d_1d, 2000,  6, 0.009700
get_amat_0d_2a, 2000,  6, 0.010132
get_amat_0d_3a, 2000,  6, 0.009072
get_amat_0d_3b, 2000,  6, 0.012038
get_amat_0d_4a, 2000,  6, 0.009744
get_amat_0d_4c, 2000,  6, 0.010893
get_amat_0d_4d, 2000,  6, 0.009890
get_amat_0d,    2000,  7, 0.320181
get_amat_0ds,   2000,  7, 0.327166
get_amat_0d_1,  2000,  7, 0.073196
get_amat_0d_1a, 2000,  7, 0.009744
get_amat_0d_1c, 2000,  7, 0.011803
get_amat_0d_1d, 2000,  7, 0.010419
get_amat_0d_2a, 2000,  7, 0.010168
get_amat_0d_3a, 2000,  7, 0.009696
get_amat_0d_3b, 2000,  7, 0.012372
get_amat_0d_4a, 2000,  7, 0.009952
get_amat_0d_4c, 2000,  7, 0.011188
get_amat_0d_4d, 2000,  7, 0.010666
get_amat_0d,    2000,  8, 0.323767
get_amat_0ds,   2000,  8, 0.319108
get_amat_0d_1,  2000,  8, 0.058825
get_amat_0d_1a, 2000,  8, 0.010824
get_amat_0d_1c, 2000,  8, 0.012378
get_amat_0d_1d, 2000,  8, 0.010931
get_amat_0d_2a, 2000,  8, 0.010650
get_amat_0d_3a, 2000,  8, 0.009080
get_amat_0d_3b, 2000,  8, 0.012555
get_amat_0d_4a, 2000,  8, 0.010274
get_amat_0d_4c, 2000,  8, 0.011359
get_amat_0d_4d, 2000,  8, 0.009389
get_amat_0d,    2000,  9, 0.320706
get_amat_0ds,   2000,  9, 0.318205
get_amat_0d_1,  2000,  9, 0.058958
get_amat_0d_1a, 2000,  9, 0.010752
get_amat_0d_1c, 2000,  9, 0.012054
get_amat_0d_1d, 2000,  9, 0.010576
get_amat_0d_2a, 2000,  9, 0.010629
get_amat_0d_3a, 2000,  9, 0.009156
get_amat_0d_3b, 2000,  9, 0.012602
get_amat_0d_4a, 2000,  9, 0.009997
get_amat_0d_4c, 2000,  9, 0.011386
get_amat_0d_4d, 2000,  9, 0.009966
get_amat_0d,    2000, 10, 0.314178
get_amat_0ds,   2000, 10, 0.310711
get_amat_0d_1,  2000, 10, 0.055768
get_amat_0d_1a, 2000, 10, 0.010492
get_amat_0d_1c, 2000, 10, 0.011793
get_amat_0d_1d, 2000, 10, 0.010689
get_amat_0d_2a, 2000, 10, 0.010412
get_amat_0d_3a, 2000, 10, 0.009077
get_amat_0d_3b, 2000, 10, 0.012134
get_amat_0d_4a, 2000, 10, 0.009969
get_amat_0d_4c, 2000, 10, 0.011393
get_amat_0d_4d, 2000, 10, 0.010878
get_amat_0d,    4000,  1, 1.185084
get_amat_0ds,   4000,  1, 1.178155
get_amat_0d_1,  4000,  1, 0.264852
get_amat_0d_1a, 4000,  1, 0.038938
get_amat_0d_1c, 4000,  1, 0.043720
get_amat_0d_1d, 4000,  1, 0.037677
get_amat_0d_2a, 4000,  1, 0.039039
get_amat_0d_3a, 4000,  1, 0.033668
get_amat_0d_3b, 4000,  1, 0.036001
get_amat_0d_4a, 4000,  1, 0.037695
get_amat_0d_4c, 4000,  1, 0.040167
get_amat_0d_4d, 4000,  1, 0.033578
get_amat_0d,    4000,  2, 1.189844
get_amat_0ds,   4000,  2, 1.218265
get_amat_0d_1,  4000,  2, 0.265198
get_amat_0d_1a, 4000,  2, 0.039126
get_amat_0d_1c, 4000,  2, 0.045101
get_amat_0d_1d, 4000,  2, 0.036818
get_amat_0d_2a, 4000,  2, 0.039054
get_amat_0d_3a, 4000,  2, 0.034708
get_amat_0d_3b, 4000,  2, 0.037765
get_amat_0d_4a, 4000,  2, 0.036261
get_amat_0d_4c, 4000,  2, 0.043601
get_amat_0d_4d, 4000,  2, 0.035200
get_amat_0d,    4000,  3, 1.198921
get_amat_0ds,   4000,  3, 1.208445
get_amat_0d_1,  4000,  3, 0.270776
